Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate
Canada,Waterloo,University of Waterloo,Computer Science,Bachelor,4,40900,62.4,1300,235,600,1.35
Canada,Waterloo,University of Waterloo,Computer Science,Master,2,26200,62.4,1300,235,600,1.35
Canada,Montreal,University of Montreal,Computer Science,Bachelor,4,39500,65.8,1400,235,600,1.35
Canada,Montreal,University of Montreal,Computer Science,Master,2,25800,65.8,1400,235,600,1.35
Canada,Edmonton,University of Alberta,Computer Science,Bachelor,4,38200,61.9,1200,235,600,1.35
Canada,Edmonton,University of Alberta,Computer Science,Master,2,24900,61.9,1200,235,600,1.35
Canada,Ottawa,University of Ottawa,Computer Science,Bachelor,4,37800,63.5,1400,235,600,1.35
Canada,Ottawa,University of Ottawa,Computer Science,Master,2,24500,63.5,1400,235,600,1.35
Canada,Calgary,University of Calgary,Computer Science,Bachelor,4,37200,62.8,1300,235,600,1.35
Canada,Calgary,University of Calgary,Computer Science,Master,2,24100,62.8,1300,235,600,1.35
Canada,Hamilton,McMaster University,Computer Science,Bachelor,4,36500,64.2,1250,235,600,1.35
Canada,Hamilton,McMaster University,Computer Science,Master,2,23800,64.2,1250,235,600,1.35
Canada,London,Western University,Computer Science,Bachelor,4,35900,61.5,1200,235,600,1.35
Canada,London,Western University,Computer Science,Master,2,23500,61.5,1200,235,600,1.35
Canada,Kingston,Queen's University,Computer Science,Bachelor,4,35400,62.1,1300,235,600,1.35
Canada,Kingston,Queen's University,Computer Science,Master,2,23200,62.1,1300,235,600,1.35
Canada,Victoria,University of Victoria,Computer Science,Bachelor,4,34800,64.8,1400,235,600,1.35
Canada,Victoria,University of Victoria,Computer Science,Master,2,22900,64.8,1400,235,600,1.35
Canada,Halifax,Dalhousie University,Computer Science,Bachelor,4,34200,61.2,1200,235,600,1.35
Canada,Halifax,Dalhousie University,Computer Science,Master,2,22600,61.2,1200,235,600,1.35
Canada,Winnipeg,University of Manitoba,Computer Science,Bachelor,4,33600,59.8,1100,235,600,1.35
Canada,Winnipeg,University of Manitoba,Computer Science,Master,2,22300,59.8,1100,235,600,1.35
Canada,Quebec City,Laval University,Computer Science,Bachelor,4,33000,58.5,1000,235,600,1.35
Canada,Quebec City,Laval University,Computer Science,Master,2,22000,58.5,1000,235,600,1.35
Canada,Saskatoon,University of Saskatchewan,Computer Science,Bachelor,4,32400,58.2,950,235,600,1.35
Canada,Saskatoon,University of Saskatchewan,Computer Science,Master,2,21700,58.2,950,235,600,1.35
Canada,St. John's,Memorial University,Computer Science,Bachelor,4,31800,57.9,900,235,600,1.35
Canada,St. John's,Memorial University,Computer Science,Master,2,21400,57.9,900,235,600,1.35
Canada,Regina,University of Regina,Computer Science,Bachelor,4,31200,57.5,900,235,600,1.35
Canada,Regina,University of Regina,Computer Science,Master,2,21100,57.5,900,235,600,1.35
Canada,Sherbrooke,University of Sherbrooke,Computer Science,Bachelor,4,30600,56.8,850,235,600,1.35
Canada,Sherbrooke,University of Sherbrooke,Computer Science,Master,2,20800,56.8,850,235,600,1.35
Canada,Windsor,University of Windsor,Computer Science,Bachelor,4,30000,58.9,950,235,600,1.35
Canada,Windsor,University of Windsor,Computer Science,Master,2,20500,58.9,950,235,600,1.35
Canada,Moncton,University of New Brunswick,Computer Science,Bachelor,4,29400,57.2,900,235,600,1.35
Canada,Moncton,University of New Brunswick,Computer Science,Master,2,20200,57.2,900,235,600,1.35
Canada,Trois-Rivieres,UQTR,Computer Science,Bachelor,4,28800,56.5,850,235,600,1.35
Canada,Trois-Rivieres,UQTR,Computer Science,Master,2,19900,56.5,850,235,600,1.35
Canada,Thunder Bay,Lakehead University,Computer Science,Bachelor,4,28200,56.2,800,235,600,1.35
Canada,Thunder Bay,Lakehead University,Computer Science,Master,2,19600,56.2,800,235,600,1.35
Canada,Sudbury,Laurentian University,Computer Science,Bachelor,4,27600,55.8,800,235,600,1.35
Canada,Sudbury,Laurentian University,Computer Science,Master,2,19300,55.8,800,235,600,1.35
Canada,Prince George,UNBC,Computer Science,Bachelor,4,27000,55.5,750,235,600,1.35
Canada,Prince George,UNBC,Computer Science,Master,2,19000,55.5,750,235,600,1.35
Australia,Melbourne,University of Melbourne,Computer Science,Bachelor,3,42500,72.8,1800,450,650,1.52
Australia,Melbourne,University of Melbourne,Computer Science,Master,2,45800,72.8,1800,450,650,1.52
Australia,Melbourne,University of Melbourne,Computer Science,PhD,4,35000,72.8,1800,450,650,1.52
Australia,Sydney,University of Sydney,Computer Science,Bachelor,3,41800,74.5,2000,450,650,1.52
Australia,Sydney,University of Sydney,Computer Science,Master,2,44900,74.5,2000,450,650,1.52
Australia,Sydney,University of Sydney,Computer Science,PhD,4,34500,74.5,2000,450,650,1.52
Australia,Canberra,Australian National University,Computer Science,Bachelor,3,41200,68.9,1600,450,650,1.52
Australia,Canberra,Australian National University,Computer Science,Master,2,44200,68.9,1600,450,650,1.52
Australia,Canberra,Australian National University,Computer Science,PhD,4,34000,68.9,1600,450,650,1.52
Australia,Brisbane,University of Queensland,Computer Science,Bachelor,3,40500,69.2,1500,450,650,1.52
Australia,Brisbane,University of Queensland,Computer Science,Master,2,43500,69.2,1500,450,650,1.52
Australia,Brisbane,University of Queensland,Computer Science,PhD,4,33500,69.2,1500,450,650,1.52
Australia,Sydney,University of New South Wales,Computer Science,Bachelor,3,40200,74.5,1900,450,650,1.52
Australia,Sydney,University of New South Wales,Computer Science,Master,2,43200,74.5,1900,450,650,1.52
Australia,Sydney,University of New South Wales,Computer Science,PhD,4,33200,74.5,1900,450,650,1.52
Australia,Melbourne,Monash University,Computer Science,Bachelor,3,39800,72.8,1700,450,650,1.52
Australia,Melbourne,Monash University,Computer Science,Master,2,42800,72.8,1700,450,650,1.52
Australia,Melbourne,Monash University,Computer Science,PhD,4,32800,72.8,1700,450,650,1.52
Australia,Adelaide,University of Adelaide,Computer Science,Bachelor,3,39200,67.5,1400,450,650,1.52
Australia,Adelaide,University of Adelaide,Computer Science,Master,2,42200,67.5,1400,450,650,1.52
Australia,Adelaide,University of Adelaide,Computer Science,PhD,4,32200,67.5,1400,450,650,1.52
Australia,Perth,University of Western Australia,Computer Science,Bachelor,3,38800,68.2,1500,450,650,1.52
Australia,Perth,University of Western Australia,Computer Science,Master,2,41800,68.2,1500,450,650,1.52
Australia,Perth,University of Western Australia,Computer Science,PhD,4,31800,68.2,1500,450,650,1.52
Australia,Brisbane,Queensland University of Technology,Computer Science,Bachelor,3,38200,69.2,1400,450,650,1.52
Australia,Brisbane,Queensland University of Technology,Computer Science,Master,2,41200,69.2,1400,450,650,1.52
Australia,Brisbane,Queensland University of Technology,Computer Science,PhD,4,31200,69.2,1400,450,650,1.52
Australia,Sydney,University of Technology Sydney,Computer Science,Bachelor,3,37800,74.5,1800,450,650,1.52
Australia,Sydney,University of Technology Sydney,Computer Science,Master,2,40800,74.5,1800,450,650,1.52
Australia,Sydney,University of Technology Sydney,Computer Science,PhD,4,30800,74.5,1800,450,650,1.52
Australia,Melbourne,RMIT University,Computer Science,Bachelor,3,37200,72.8,1600,450,650,1.52
Australia,Melbourne,RMIT University,Computer Science,Master,2,40200,72.8,1600,450,650,1.52
Australia,Melbourne,RMIT University,Computer Science,PhD,4,30200,72.8,1600,450,650,1.52
Australia,Wollongong,University of Wollongong,Computer Science,Bachelor,3,36800,65.8,1300,450,650,1.52
Australia,Wollongong,University of Wollongong,Computer Science,Master,2,39800,65.8,1300,450,650,1.52
Australia,Wollongong,University of Wollongong,Computer Science,PhD,4,29800,65.8,1300,450,650,1.52
Australia,Newcastle,University of Newcastle,Computer Science,Bachelor,3,36200,66.2,1300,450,650,1.52
Australia,Newcastle,University of Newcastle,Computer Science,Master,2,39200,66.2,1300,450,650,1.52
Australia,Newcastle,University of Newcastle,Computer Science,PhD,4,29200,66.2,1300,450,650,1.52
Australia,Hobart,University of Tasmania,Computer Science,Bachelor,3,35800,64.5,1200,450,650,1.52
Australia,Hobart,University of Tasmania,Computer Science,Master,2,38800,64.5,1200,450,650,1.52
Australia,Hobart,University of Tasmania,Computer Science,PhD,4,28800,64.5,1200,450,650,1.52
Australia,Gold Coast,Griffith University,Computer Science,Bachelor,3,35200,68.5,1400,450,650,1.52
Australia,Gold Coast,Griffith University,Computer Science,Master,2,38200,68.5,1400,450,650,1.52
Australia,Gold Coast,Griffith University,Computer Science,PhD,4,28200,68.5,1400,450,650,1.52
Australia,Canberra,University of Canberra,Computer Science,Bachelor,3,34800,68.9,1500,450,650,1.52
Australia,Canberra,University of Canberra,Computer Science,Master,2,37800,68.9,1500,450,650,1.52
Australia,Canberra,University of Canberra,Computer Science,PhD,4,27800,68.9,1500,450,650,1.52
Australia,Townsville,James Cook University,Computer Science,Bachelor,3,34200,65.2,1200,450,650,1.52
Australia,Townsville,James Cook University,Computer Science,Master,2,37200,65.2,1200,450,650,1.52
Australia,Townsville,James Cook University,Computer Science,PhD,4,27200,65.2,1200,450,650,1.52
Australia,Armidale,University of New England,Computer Science,Bachelor,3,33800,63.8,1100,450,650,1.52
Australia,Armidale,University of New England,Computer Science,Master,2,36800,63.8,1100,450,650,1.52
Australia,Armidale,University of New England,Computer Science,PhD,4,26800,63.8,1100,450,650,1.52
Australia,Toowoomba,University of Southern Queensland,Computer Science,Bachelor,3,33200,64.2,1100,450,650,1.52
Australia,Toowoomba,University of Southern Queensland,Computer Science,Master,2,36200,64.2,1100,450,650,1.52
Australia,Toowoomba,University of Southern Queensland,Computer Science,PhD,4,26200,64.2,1100,450,650,1.52
Australia,Ballarat,Federation University,Computer Science,Bachelor,3,32800,63.5,1000,450,650,1.52
Australia,Ballarat,Federation University,Computer Science,Master,2,35800,63.5,1000,450,650,1.52
Australia,Ballarat,Federation University,Computer Science,PhD,4,25800,63.5,1000,450,650,1.52
Australia,Lismore,Southern Cross University,Computer Science,Bachelor,3,32200,63.2,1000,450,650,1.52
Australia,Lismore,Southern Cross University,Computer Science,Master,2,35200,63.2,1000,450,650,1.52
Australia,Lismore,Southern Cross University,Computer Science,PhD,4,25200,63.2,1000,450,650,1.52
USA,Boston,MIT,Computer Science,Master,2,58000,82.1,2100,160,1500,1.00
UK,London,Imperial College London,Data Science,Master,1,42000,75.3,1800,485,800,0.79
Germany,Munich,TU Munich,Mechanical Engineering,Master,2,0,71.5,1200,110,900,0.92
Canada,Toronto,University of Toronto,Business Analytics,Master,2,45000,73.8,1700,235,750,1.35
Australia,Melbourne,University of Melbourne,Artificial Intelligence,PhD,4,29000,72.4,1500,450,650,1.52
USA,Stanford,Stanford University,Physics,PhD,5,52000,84.3,2300,160,1500,1.00
UK,Edinburgh,University of Edinburgh,Chemistry,Master,2,38000,67.8,1100,485,800,0.79
Germany,Berlin,Humboldt University,Computer Science,Bachelor,3,0,68.9,950,110,900,0.92
Canada,Vancouver,University of British Columbia,Environmental Science,Master,2,42000,71.2,1600,235,750,1.35
Australia,Sydney,University of Sydney,Biotechnology,PhD,4,31000,75.6,1700,450,650,1.52
USA,Berkeley,UC Berkeley,Mathematics,Master,2,54000,83.2,2000,160,1500,1.00
UK,Manchester,University of Manchester,Engineering,Bachelor,3,35000,65.4,900,485,800,0.79
Germany,Hamburg,University of Hamburg,Physics,Master,2,0,69.8,1100,110,900,0.92
Canada,Montreal,McGill University,Computer Science,PhD,4,38000,68.9,1400,235,750,1.35
Australia,Brisbane,University of Queensland,Data Science,Master,2,32000,68.7,1200,450,650,1.52
USA,New York,Columbia University,Economics,Master,2,62000,100,2500,160,1500,1.00
UK,Oxford,University of Oxford,Computer Science,PhD,4,40000,71.5,1400,485,800,0.79
Germany,Dresden,TU Dresden,Mechanical Engineering,Bachelor,3,0,65.4,800,110,900,0.92
Canada,Ottawa,University of Ottawa,Artificial Intelligence,Master,2,40000,67.8,1300,235,750,1.35
Australia,Perth,University of Western Australia,Physics,Master,2,30000,67.2,1100,450,650,1.52
USA,Atlanta,Georgia Tech,Engineering,PhD,5,48000,71.2,1700,160,1500,1.00
UK,Bristol,University of Bristol,Data Science,Master,2,36000,68.9,1200,485,800,0.79
Germany,Frankfurt,Goethe University,Computer Science,Master,2,0,72.3,1300,110,900,0.92
Canada,Calgary,University of Calgary,Mathematics,Bachelor,4,35000,65.4,1200,235,750,1.35
Australia,Adelaide,University of Adelaide,Chemistry,PhD,4,28000,64.5,1000,450,650,1.52
USA,Los Angeles,UCLA,Computer Science,Master,2,52000,79.8,2200,160,1500,1.00
UK,Glasgow,University of Glasgow,Physics,Bachelor,3,34000,64.5,950,485,800,0.79
Germany,Stuttgart,University of Stuttgart,Engineering,Master,2,0,68.7,1100,110,900,0.92
Canada,Edmonton,University of Alberta,Data Science,Master,2,37000,64.3,1100,235,750,1.35
Australia,Canberra,Australian National University,Computer Science,PhD,4,33000,69.8,1300,450,650,1.52
USA,Austin,UT Austin,Mathematics,Master,2,45000,68.9,1600,160,1500,1.00
UK,Leeds,University of Leeds,Chemistry,PhD,4,35000,63.2,900,485,800,0.79
Germany,Heidelberg,Heidelberg University,Physics,Bachelor,3,0,67.8,1000,110,900,0.92
Canada,Halifax,Dalhousie University,Engineering,Master,2,36000,63.4,1000,235,750,1.35
Australia,Gold Coast,Griffith University,Data Science,Master,2,29000,65.4,1100,450,650,1.52
USA,Seattle,University of Washington,Computer Science,PhD,5,50000,77.8,2000,160,1500,1.00
UK,Sheffield,University of Sheffield,Engineering,Master,2,33000,62.3,850,485,800,0.79
Germany,Cologne,University of Cologne,Mathematics,Master,2,0,69.8,1200,110,900,0.92
Canada,Quebec City,Laval University,Physics,Bachelor,3,34000,62.1,900,235,750,1.35
Australia,Newcastle,University of Newcastle,Chemistry,Master,2,27000,63.2,950,450,650,1.52
USA,Pittsburgh,Carnegie Mellon,Data Science,Master,2,56000,65.4,1500,160,1500,1.00
UK,Nottingham,University of Nottingham,Computer Science,PhD,4,34000,61.2,800,485,800,0.79
Germany,Bonn,University of Bonn,Engineering,Master,2,0,67.8,1100,110,900,0.92
Canada,Victoria,University of Victoria,Mathematics,Master,2,35000,64.5,1100,235,750,1.35
Australia,Hobart,University of Tasmania,Physics,Bachelor,3,26000,62.1,900,450,650,1.52
USA,San Diego,UC San Diego,Chemistry,PhD,5,49000,75.6,1900,160,1500,1.00
UK,Durham,Durham University,Engineering,Master,2,35000,63.4,900,485,800,0.79
Germany,Aachen,RWTH Aachen,Computer Science,Bachelor,3,0,68.9,1000,110,900,0.92
Canada,Winnipeg,University of Manitoba,Data Science,Master,2,33000,61.2,900,235,750,1.35
Australia,Wollongong,University of Wollongong,Mathematics,PhD,4,28000,63.4,950,450,650,1.52
USA,San Francisco,UC Berkeley Extension,Data Science,Master,2,52000,95.2,2400,160,1500,1.00
UK,London,King's College London,Computer Science,Master,1,39000,75.3,1900,485,800,0.79
Switzerland,Zurich,ETH Zurich,Computer Science,Master,2,1500,122.4,2000,140,1200,0.89
France,Paris,Sorbonne University,Data Analytics,Master,2,4500,84.3,1800,99,850,0.92
Ireland,Dublin,Trinity College Dublin,Computer Science,PhD,4,18900,83.6,1700,150,750,0.92
USA,Chicago,University of Chicago,Data Science,Master,2,58000,84.1,1900,160,1500,1.00
UK,Cambridge,Anglia Ruskin University,Data Analytics,Bachelor,3,35000,71.2,1500,485,800,0.79
Switzerland,Lausanne,EPFL,Computer Science,PhD,4,1500,119.8,1900,140,1200,0.89
France,Lyon,University of Lyon,Data Science,Master,2,4200,75.6,1200,99,850,0.92
Ireland,Cork,University College Cork,Computer Science,Master,2,16800,75.4,1300,150,750,0.92
USA,Boston,Northeastern University,Data Analytics,Master,2,54000,82.1,2200,160,1500,1.00
UK,Edinburgh,Heriot-Watt University,Computer Science,Master,1,37000,67.8,1200,485,800,0.79
Switzerland,Geneva,University of Geneva,Data Science,Master,2,1500,116.5,1800,140,1200,0.89
France,Toulouse,University of Toulouse,Computer Science,Bachelor,3,4000,71.2,900,99,850,0.92
Ireland,Galway,NUI Galway,Data Analytics,Master,2,15900,72.3,1100,150,750,0.92
USA,Seattle,University of Washington,Data Science,PhD,4,51000,77.8,2100,160,1500,1.00
UK,Birmingham,University of Birmingham,Computer Science,Master,1,36000,65.4,1100,485,800,0.79
Switzerland,Basel,University of Basel,Data Science,Master,2,1500,114.3,1700,140,1200,0.89
France,Bordeaux,University of Bordeaux,Data Analytics,Master,2,4300,72.1,1000,99,850,0.92
Ireland,Limerick,University of Limerick,Computer Science,Bachelor,4,15400,71.2,1000,150,750,0.92
USA,Austin,UT Austin,Computer Science,Master,2,49000,68.9,1800,160,1500,1.00
UK,Manchester,University of Salford,Data Science,Master,1,35000,65.4,1000,485,800,0.79
Switzerland,St. Gallen,University of St. Gallen,Data Analytics,Master,2,1500,112.1,1600,140,1200,0.89
France,Nice,University of Nice,Computer Science,Master,2,4100,76.5,1300,99,850,0.92
Ireland,Maynooth,Maynooth University,Data Science,PhD,4,14900,70.1,950,150,750,0.92
USA,Denver,University of Denver,Data Analytics,Master,2,47000,69.8,1700,160,1500,1.00
UK,Leeds,Leeds Beckett University,Computer Science,Bachelor,3,34000,63.2,900,485,800,0.79
Switzerland,Bern,University of Bern,Data Science,Master,2,1500,110.4,1500,140,1200,0.89
France,Lille,University of Lille,Data Analytics,PhD,4,4200,69.8,950,99,850,0.92
Ireland,Waterford,Waterford IT,Computer Science,Master,2,14500,68.9,900,150,750,0.92
USA,Portland,Portland State University,Data Science,Master,2,45000,71.2,1600,160,1500,1.00
UK,Bristol,UWE Bristol,Computer Science,Master,1,33000,68.9,1100,485,800,0.79
Switzerland,Lugano,USI Lugano,Data Analytics,Master,2,1500,108.9,1400,140,1200,0.89
France,Strasbourg,University of Strasbourg,Computer Science,Master,2,4000,70.2,1000,99,850,0.92
Ireland,Sligo,IT Sligo,Data Science,Bachelor,4,14000,67.5,850,150,750,0.92
USA,Minneapolis,University of Minnesota,Computer Science,PhD,4,48000,72.3,1700,160,1500,1.00
UK,Cardiff,Cardiff University,Data Analytics,Master,1,34000,64.5,950,485,800,0.79
Switzerland,Fribourg,University of Fribourg,Computer Science,Master,2,1500,107.8,1300,140,1200,0.89
France,Grenoble,Grenoble INP,Data Science,Master,2,4100,71.5,1100,99,850,0.92
Ireland,Athlone,Athlone IT,Data Analytics,Master,2,13800,66.7,800,150,750,0.92
Norway,Oslo,University of Oslo,Computer Science,Master,2,0,83.2,1400,275,700,10.45
Finland,Helsinki,University of Helsinki,Data Science,Master,2,0,79.4,1200,350,650,0.92
Germany,Berlin,Technical University Berlin,Mechanical Engineering,Master,2,0,68.9,1100,110,900,0.92
Denmark,Copenhagen,University of Copenhagen,Physics,PhD,4,0,82.1,1500,450,800,7.45
Norway,Trondheim,NTNU,Robotics,Master,2,0,75.6,1100,275,700,10.45
Finland,Espoo,Aalto University,Computer Engineering,Bachelor,3,0,77.8,1000,350,650,0.92
Germany,Munich,LMU Munich,Mathematics,PhD,4,0,71.5,1300,110,900,0.92
Denmark,Aarhus,Aarhus University,Data Analytics,Master,2,0,76.5,1200,450,800,7.45
Norway,Bergen,University of Bergen,Artificial Intelligence,Master,2,0,74.3,1200,275,700,10.45
Finland,Tampere,Tampere University,Software Engineering,Master,2,0,72.1,900,350,650,0.92
Germany,Dresden,TU Dresden,Computer Science,Bachelor,3,0,65.4,900,110,900,0.92
Denmark,Odense,University of Southern Denmark,Biotechnology,Master,2,0,73.2,1100,450,800,7.45
Norway,Tromsø,UiT Arctic University,Marine Technology,PhD,4,0,71.2,1000,275,700,10.45
Finland,Turku,University of Turku,Bioinformatics,Master,2,0,71.8,850,350,650,0.92
Germany,Hamburg,TU Hamburg,Electrical Engineering,Master,2,0,69.8,1200,110,900,0.92
Denmark,Aalborg,Aalborg University,Energy Engineering,Bachelor,3,0,71.5,1000,450,800,7.45
Norway,Stavanger,University of Stavanger,Petroleum Engineering,Master,2,0,72.4,1100,275,700,10.45
Finland,Oulu,University of Oulu,Computer Science,PhD,4,0,70.2,800,350,650,0.92
Germany,Stuttgart,University of Stuttgart,Aerospace Engineering,Master,2,0,68.7,1100,110,900,0.92
Denmark,Roskilde,Roskilde University,Environmental Science,Master,2,0,70.8,1000,450,800,7.45
Norway,Ås,Norwegian University of Life Sciences,Biotechnology,Master,2,0,70.5,900,275,700,10.45
Finland,Vaasa,University of Vaasa,Industrial Management,Master,2,0,69.8,800,350,650,0.92
Germany,Karlsruhe,KIT,Mechatronics,PhD,4,0,67.9,1000,110,900,0.92
Denmark,Lyngby,Technical University of Denmark,Quantum Engineering,Master,2,0,81.2,1400,450,800,7.45
Norway,Bodø,Nord University,Marine Biology,Bachelor,3,0,69.4,850,275,700,10.45
Finland,Jyväskylä,University of Jyväskylä,Data Science,Master,2,0,68.7,750,350,650,0.92
Germany,Darmstadt,TU Darmstadt,Computer Engineering,Master,2,0,66.8,950,110,900,0.92
Denmark,Kolding,University of Southern Denmark,Software Engineering,PhD,4,0,69.5,900,450,800,7.45
Norway,Gjøvik,NTNU Gjøvik,Information Security,Master,2,0,68.9,800,275,700,10.45
Finland,Lappeenranta,LUT University,Industrial Engineering,Master,2,0,67.5,700,350,650,0.92
Germany,Bremen,University of Bremen,Robotics,Master,2,0,66.5,900,110,900,0.92
Denmark,Esbjerg,University of Southern Denmark,Environmental Engineering,Master,2,0,68.4,850,450,800,7.45
Norway,Kristiansand,University of Agder,Renewable Energy,PhD,4,0,67.8,850,275,700,10.45
Finland,Kuopio,University of Eastern Finland,Environmental Science,Bachelor,3,0,66.9,700,350,650,0.92
Germany,Aachen,RWTH Aachen,Materials Science,Master,2,0,68.9,1000,110,900,0.92
Denmark,Slagelse,University of Copenhagen,Bioinformatics,Master,2,0,67.5,900,450,800,7.45
Norway,Horten,University of South-Eastern Norway,Systems Engineering,Master,2,0,66.7,800,275,700,10.45
Finland,Joensuu,University of Eastern Finland,Forestry Sciences,PhD,4,0,65.8,650,350,650,0.92
Germany,Jena,University of Jena,Photonics,Master,2,0,65.4,850,110,900,0.92
Denmark,Herning,Aarhus University,Engineering Management,Master,2,0,66.2,800,450,800,7.45
New Zealand,Auckland,University of Auckland,Computer Science,Master,2,32000,79.5,1200,330,600,1.65
USA,Boston,Northeastern University,Data Science,Master,2,54000,82.1,2000,160,1500,1.00
Sweden,Stockholm,KTH Royal Institute,Engineering Physics,Master,2,0,78.4,1100,120,750,10.45
Netherlands,Amsterdam,University of Amsterdam,Artificial Intelligence,PhD,4,15000,81.2,1300,171,720,0.92
Portugal,Lisbon,University of Lisbon,Computer Engineering,Master,2,7000,65.8,800,75,400,0.92
New Zealand,Wellington,Victoria University,Data Analytics,Master,2,30000,75.6,1100,330,600,1.65
USA,Austin,UT Austin,Robotics,PhD,5,48000,68.9,1600,160,1500,1.00
Sweden,Uppsala,Uppsala University,Mathematics,Bachelor,3,0,72.3,900,120,750,10.45
Netherlands,Rotterdam,Erasmus University,Business Analytics,Master,2,14500,77.8,1200,171,720,0.92
Portugal,Porto,University of Porto,Software Engineering,Master,2,6500,62.4,700,75,400,0.92
New Zealand,Christchurch,University of Canterbury,Mechanical Engineering,PhD,4,31000,72.4,950,330,600,1.65
USA,San Diego,UC San Diego,Biotechnology,Master,2,49000,75.6,1900,160,1500,1.00
Sweden,Gothenburg,Chalmers University,Sustainable Energy,Master,2,0,71.2,950,120,750,10.45
Netherlands,Delft,TU Delft,Computer Science,Master,2,15500,76.5,1100,171,720,0.92
Portugal,Coimbra,University of Coimbra,Data Science,Bachelor,3,6000,58.9,600,75,400,0.92
New Zealand,Dunedin,University of Otago,Information Systems,Master,2,29000,70.2,900,330,600,1.65
USA,Seattle,University of Washington,Computer Engineering,Master,2,51000,77.8,2100,160,1500,1.00
Sweden,Lund,Lund University,Physics,PhD,4,0,73.4,1000,120,750,10.45
Netherlands,Eindhoven,TU Eindhoven,Artificial Intelligence,Master,2,14800,72.3,950,171,720,0.92
Portugal,Braga,University of Minho,Computer Science,Master,2,6200,57.8,550,75,400,0.92
New Zealand,Hamilton,University of Waikato,Environmental Science,Master,2,28500,68.9,850,330,600,1.65
USA,Atlanta,Georgia Tech,Machine Learning,PhD,5,48000,71.2,1700,160,1500,1.00
Sweden,Linköping,Linköping University,Computer Science,Master,2,0,69.8,850,120,750,10.45
Netherlands,Utrecht,Utrecht University,Data Science,Bachelor,3,13900,75.4,1100,171,720,0.92
Portugal,Aveiro,University of Aveiro,Robotics,PhD,4,6800,56.7,500,75,400,0.92
New Zealand,Palmerston North,Massey University,Computer Engineering,Bachelor,3,27500,67.5,800,330,600,1.65
USA,Pittsburgh,Carnegie Mellon,Software Engineering,Master,2,56000,65.4,1500,160,1500,1.00
Sweden,Umeå,Umeå University,Artificial Intelligence,Master,2,0,68.5,800,120,750,10.45
Netherlands,Groningen,University of Groningen,Computing Science,PhD,4,14200,71.2,900,171,720,0.92
Portugal,Faro,University of Algarve,Information Systems,Master,2,5900,55.4,480,75,400,0.92
New Zealand,Auckland,AUT University,Data Analytics,Master,2,29500,79.5,1150,330,600,1.65
USA,Raleigh,NC State University,Computer Science,Master,2,47000,67.8,1400,160,1500,1.00
Sweden,Karlstad,Karlstad University,Information Systems,Bachelor,3,0,67.2,750,120,750,10.45
Netherlands,Tilburg,Tilburg University,Data Science,Master,2,14000,70.5,950,171,720,0.92
Portugal,Vila Real,UTAD,Computer Engineering,Master,2,5700,54.3,450,75,400,0.92
New Zealand,Christchurch,Lincoln University,Environmental Computing,PhD,4,28000,72.4,900,330,600,1.65
USA,Davis,UC Davis,Data Science,Master,2,48000,73.2,1600,160,1500,1.00
Sweden,Växjö,Linnaeus University,Software Engineering,Master,2,0,66.5,700,120,750,10.45
Netherlands,Wageningen,Wageningen University,Bioinformatics,Master,2,14500,69.8,900,171,720,0.92
Portugal,Funchal,University of Madeira,Computing,Bachelor,3,5500,53.2,400,75,400,0.92
Spain,Madrid,Universidad Politécnica de Madrid,Computer Science,Master,2,3500,71.4,1100,80,750,0.92
Italy,Milan,Politecnico di Milano,Data Engineering,Master,2,4000,73.2,1200,120,700,0.92
Greece,Athens,National Technical University,Electrical Engineering,PhD,4,0,65.8,650,100,600,0.92
Austria,Vienna,TU Wien,Software Engineering,Master,2,1500,78.5,950,160,850,0.92
Mexico,Mexico City,UNAM,Computer Engineering,Bachelor,4,800,52.4,600,40,400,17.05
Spain,Barcelona,Universitat Politècnica Catalunya,Artificial Intelligence,Master,2,3800,73.6,1000,80,750,0.92
Italy,Rome,Sapienza University,Robotics,PhD,4,3500,71.2,1100,120,700,0.92
Greece,Thessaloniki,Aristotle University,Computer Engineering,Master,2,0,62.4,500,100,600,0.92
Austria,Graz,TU Graz,Mechanical Engineering,Bachelor,3,1500,71.2,750,160,850,0.92
Mexico,Monterrey,Tecnológico de Monterrey,Data Science,Master,2,12000,48.9,700,40,400,17.05
Spain,Valencia,Universitat de València,Data Science,Master,2,3200,68.5,800,80,750,0.92
Italy,Turin,Politecnico di Torino,Computer Engineering,Master,2,3800,69.8,900,120,700,0.92
Greece,Patras,University of Patras,Electronics,PhD,4,0,60.5,450,100,600,0.92
Austria,Linz,Johannes Kepler University,Artificial Intelligence,Master,2,1500,70.4,700,160,850,0.92
Mexico,Guadalajara,Universidad de Guadalajara,Software Engineering,Bachelor,4,900,45.6,500,40,400,17.05
Spain,Seville,Universidad de Sevilla,Robotics,Master,2,3000,65.4,750,80,750,0.92
Italy,Bologna,University of Bologna,Information Technology,PhD,4,3600,70.5,950,120,700,0.92
Greece,Heraklion,University of Crete,Computer Science,Master,2,0,61.2,480,100,600,0.92
Austria,Salzburg,University of Salzburg,Data Analytics,Bachelor,3,1500,72.3,800,160,850,0.92
Mexico,Puebla,UDLAP,Computer Engineering,Master,2,10000,44.5,450,40,400,17.05
